Annee,MASI_rendement_annuel_%,PIB_croissance_annuelle_%,Inflation_annuelle_%,Taux_interet_moyen_%,Taux_chomage_%,Masse_monetaire_var_annuelle_%,Taux_change_var_annuelle_%,Depenses_conso_menages_var_annuelle_%,Population_rurale_%,Population_urbaine_%,nb_mois_MASI,nb_mois_taux_change
2002,"-13,47","3,73","2,80","15,10","11,59","10,32","-11,93","5,00","45,78","54,22","11,00","12,00"
2003,"24,03","6,17","1,17","14,73","11,92","7,87","-13,25","5,26","45,42","54,58","12,00","12,00"
2004,"14,67","4,57","1,49","14,11","10,83","8,35","-6,12","5,48","45,02","54,98","12,00","12,00"
2005,"22,49","3,19","0,98","13,36","11,01","14,06","11,71","5,83","44,56","55,44","12,00","12,00"
2006,"71,15","7,79","3,28","13,21","9,67","18,09","-8,61","9,22","44,04","55,96","12,00","12,00"
2007,"33,90","3,44","2,04","14,13","9,56","17,55","-7,69","8,57","43,47","56,53","12,00","12,00"
2008,"-13,48","5,68","3,71","14,17","9,57","13,31","3,48","11,46","42,87","57,13","12,00","12,00"
2009,"-4,90","3,75","0,97","14,34","8,96","7,01","-1,94","4,92","42,27","57,73","12,00","12,00"
2010,"21,18","3,50","0,99","14,29","9,09","4,20","5,48","5,07","41,67","58,33","12,00","12,00"
2011,"-12,87","5,52","0,91","14,17","8,91","6,44","3,07","5,92","41,10","58,90","12,00","12,00"
2012,"-15,13","3,06","1,29","14,18","8,99","4,52","-1,58","4,89","40,57","59,43","12,00","12,00"
2013,"-2,62","4,12","1,88","14,27","9,23","3,09","-3,29","5,06","40,09","59,91","12,00","12,00"
2014,"5,55","2,72","0,44","14,37","9,70","6,20","10,57","14,91","39,70","60,30","12,00","12,00"
2015,"-7,21","4,34","1,56","14,38","9,46","5,69","9,41","2,80","39,36","60,64","12,00","12,00"
2016,"30,45","0,52","1,64","14,32","9,30","4,74","2,36","2,13","39,03","60,97","12,00","12,00"
2017,"6,39","5,06","0,75","14,00","10,20","5,55","-7,67","4,97","38,72","61,28","12,00","12,00"
2018,"-8,28","3,07","1,80","13,67","9,50","4,06","2,27","4,28","38,43","61,57","12,00","12,00"
2019,"7,10","2,89","0,30","13,58","9,20","3,78","0,09","2,99","38,16","61,84","12,00","12,00"
2020,"-7,26","-7,18","0,71","13,53","11,90","8,36","-6,92","-6,99","37,91","62,09","12,00","12,00"
2021,"18,34","8,15","1,40","13,40","12,28","5,09","3,89","11,76","37,68","62,32","12,00","12,00"
2022,"-19,75","1,81","6,66","13,16","11,79","8,01","12,80","8,81","37,49","62,51","12,00","12,00"
2023,"12,81","3,66","6,09","12,98","13,00","3,91","-5,43","9,27","37,33","62,67","12,00","12,00"
2024,"22,15","3,79","0,99","13,19","13,30","8,00","2,73","6,20","37,20","62,80","12,00","12,00"
2025,"27,56","4,77","0,80","13,34","13,00",,"-10,00",,"36,60","63,40","12,00","12,00"
