Annee,PIB_cat,Inflation_cat,MASI_cat,Chomage_cat,Pop_rurale_cat_terciles,Pop_urbaine_cat_terciles
2002,moyen,moyenne,faible,élevé,forte,faible
2003,élevé,basse,élevé,élevé,forte,faible
2004,moyen,basse,moyen,moyen,forte,faible
2005,moyen,basse,élevé,moyen,forte,faible
2006,élevé,moyenne,élevé,moyen,forte,faible
2007,moyen,moyenne,élevé,moyen,forte,faible
2008,élevé,moyenne,faible,moyen,forte,faible
2009,moyen,basse,moyen,faible,forte,faible
2010,moyen,basse,moyen,faible,moyenne,moyenne
2011,élevé,basse,faible,faible,moyenne,moyenne
2012,moyen,basse,faible,faible,moyenne,moyenne
2013,moyen,basse,moyen,faible,moyenne,moyenne
2014,moyen,basse,moyen,moyen,moyenne,moyenne
2015,moyen,basse,moyen,faible,moyenne,moyenne
2016,faible,basse,élevé,faible,moyenne,moyenne
2017,élevé,basse,moyen,moyen,moyenne,moyenne
2018,moyen,basse,faible,moyen,faible,forte
2019,moyen,basse,moyen,faible,faible,forte
2020,faible,basse,moyen,élevé,faible,forte
2021,élevé,basse,moyen,élevé,faible,forte
2022,faible,haute,faible,élevé,faible,forte
2023,moyen,haute,moyen,élevé,faible,forte
2024,moyen,basse,moyen,élevé,faible,forte
2025,moyen,basse,élevé,élevé,faible,forte
