Annee,MASI_rendement_annuel_%,PIB_croissance_annuelle_%,Inflation_annuelle_%,Taux_interet_moyen_%,Taux_chomage_%,Masse_monetaire_var_annuelle_%,Taux_change_var_annuelle_%,Depenses_conso_menages_var_annuelle_%
2002,-13.469524174748527,3.730197375,2.795619669,15.103068493150682,11.59,10.315771210456305,-11.92681526599213,5.001423296041674
2003,24.03127903811533,6.17110215,1.167733675,14.727972602739726,11.92,7.866178760347475,-13.247770293396844,5.262688795386095
2004,14.671476661049908,4.571380165,1.493444034,14.113060109289618,10.83,8.354009569796572,-6.123216931087505,5.479036423420491
2005,22.488391175356746,3.19224973,0.98264166,13.356191780821918,11.01,14.05826679824167,11.714273485208416,5.829938389291378
2006,71.15475189036242,7.79082001,3.28476167,13.21178082191781,9.67,18.08861438995759,-8.611782024717796,9.223966827220886
2007,33.89872393394258,3.441067767,2.042085127,14.128082191780821,9.56,17.54710226373937,-7.6923003848553435,8.569427846372424
2008,-13.48019052901237,5.684539363,3.714843115,14.17,9.57,13.311565512405533,3.480161300703699,11.463363930022075
2009,-4.902167765500853,3.745769401,0.971862999,14.343287671232877,8.96,7.006948316427186,-1.9381245227179877,4.917566323541722
2010,21.177806217516036,3.499557094,0.993557401,14.294520547945206,09.09,4.195430834564906,5.477349634096695,5.072917924887355
2011,-12.871809307180083,5.524645233,0.90692491,14.16958904109589,8.91,6.438299026983874,3.0730706969400723,5.923130314072522
2012,-15.132088431560986,3.062343685,1.287122401,14.177568306010928,8.99,4.5180224737092045,-1.5769123500104842,4.885655311376325
2013,-2.6186599880700823,4.122212869,1.880654667,14.272876712328769,9.23,3.0885649320281816,-3.2928563465897898,5.063968278449926
2014,5.5498703293192175,2.71924408,0.442310054,14.367808219178082,9.7,6.199526798459165,10.574072935020752,14.90955039998514
2015,-7.214949423750117,4.344582976,1.557907113,14.38246575342466,9.46,5.690323412168685,9.414325450950889,2.800058216630541
2016,30.451367411975717,0.521185506,1.635311143,14.319890710382513,9.3,4.735897703912761,2.3571774053026573,2.133727652411932
2017,6.391357635245898,5.057898162,0.754663249,13.998630136986302,10.2,5.5463610582080936,-7.67039625484488,4.970281505531693
2018,-8.27919430131524,3.06564133,1.803916711,13.673972602739726,9.5,4.059569773855487,2.265218875239672,4.283163298993875
2019,7.100642757635356,2.890974761,0.303386037,13.577397260273973,9.2,3.7785282670260933,0.09050452147365551,2.9907699234579033
2020,-7.259792429719458,-7.178207442,0.705968661,13.532431693989071,11.9,8.361789685666764,-6.923965430322987,-6.990119894641356
2021,18.342915543029093,8.154738898,1.40195884,13.399452054794521,12.28,5.093864468864462,3.890508312620744,11.755849649681993
2022,-19.750568678105584,1.812692422,6.657042028,13.156575342465752,11.79,8.013352383759308,12.796962207022045,8.811913070336264
2023,12.806814788357945,3.65564411,6.091141525,12.976986301369864,13.0,3.9137759217956702,-5.429070874089348,9.269951322035542
2024,22.152243231960256,3.79336516,0.985256592,13.187950819672132,13.3,8.004247011679277,2.7252402471672266,6.197195554007973
2025,27.55586058275594,4.766666667,0.8,13.337808219178083,13.0,,-9.997711516353647,
